"Chùtta","(f, -e): ❶ Kutte, Mönchsgewand (Ta1 Gi1 Si1); ❷ Jacke des Anzugs (Gu1 Üb1 Ta1 He1; sds 5,123: Üb He); ↑Tschoope.","[Dim. Chùtteli (Ta1 Gi1 Si1) (r) Id 3,573]"
"Chutte","(m, unveränd.): ein wenig, kl. Menge: da ùnen isch ging a Chutte chelter (pb S-1b); ↑Chutt.","[Einzelbeleg (r) Id 3,572 nur: 'Loch; Kinngrübchen' (BS)]"
"chutte","(g-et): ❶ stürmen, a) stark blasen vom Wind (Üb1 We2 Gi Ss2); as chuttet i de Tane (Rappo 43); SYN: stǜǜrme. b) stürmisch schneien, regnen (sds 6,47: Gu Wü Üb Fr Ta Gi); SYN: strubuusse. ❷ vorbeisausen, a) rasen, schnell fahren (Ss2 / wh 105); wenn er [mit ùm Outo] a mena Puurehuus vùrbyy kuttet isch, het epa a Hùnn aaggää (pb Isi32); b) schnell rennen (Ss2); d Chnächte ù d Jùmpfroue sy nit epa dùre Schopf dǜǜr kuttet (vs GuC55); SYN: springe. ZSS: obenaha~, vùrbyy~. ❸ a) lärmend herumzanken (Gu1 Üb2 We2); ↑chäre. b) an den Haaren schütteln (sds 4,9: Wü); wenn es nit uf der Gstell ufghört het bläre, so het si's g'chutet u bütlet wie na Hühnervogul as Tübeli vurrupft (vs 1913,29); SYN: haare. ❹ Geschlechtsverkehr haben (derb / Dü1); SYN: böbere.","[auch chuttere (Üb2) (r) Herkunft unbekannt (r) Id 3,570: 3. nur FR]"
"Chutter","(m, -e): ❶ Täuberich (Dü1 Fr1 We1 Si1 Ss1; sds 8,104 / wh 105); ↑Tübla. ZSS: Tube~. ❷ abschätzig für vernachlässigte, auffällige Männer (Wü1 Gi2); settig Chuttere het es früjer mee ghääbe weder hüt (pm 92); vgl. Anhang 1. ❸ altes Pferd (Wü1); SYN: Chlobe.","[Id 3,571]"
"Chùtterbùre"," s. Kùtterbùre.",""
"Chutteta","(f, -e): rollende Masse, Haufen (wh 125). ↑Rǜfleta.","[zu chutte; zu -eta s. Dräcketa ]"
"Chuttilùft","(m, kein Pl.): starker Wind: zäme mit ùm Chuttilùft, wa ging hörter ùff ds Hustach prätschet (pb Verse19).",""
"Chùttla","(f, -e): ❶ Kutteln, essbare tier. Magenwand: [i ässe] aus nùmme nie Chùttle (Haas: Wü); ‡Fliisch. • Ra.: iim d Chùttle pùtze zurechtweisen (pb S-C). ❷ abschätzig für schlechten, alten Ball (derb / übertr. / Dü2 We2); SYN: Paloota.","[Id 3,574]"
"Chùttlerugger","(m, unveränd.): saurer Wein (derb / pk). SYN: Essig. ↑Wyy1.","[Id 6,776: Chùttlerûgger ]"
"Chutz","(m, -e): ❶ Eulenart Kauz (allg.); SYN: Wiggla. ZSS: Nacht~, Sti~. ❷ Kauz, wunderlicher Mensch, Sonderling (Ta1); vgl. Anhang 1. ZSS: Lischt~. ❸ ungekämmter, struppiger Haarschopf (wh 105); koomischa Chutz ùf ùm Chopf (Dü2); SYN: Haar. ❹ junges Tännchen (Fr1; Thürler); SYN: Tschùggḷ. ↑Tana.","[Dim. Chutzli (Fr1) (r) mhd kûz, kûze 'Kauz; Schreihals' (r) Id 3,601]"
